beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
AU10,1,Riksrevisionens rapport om kontrollen av subventionerade anställningar,Nej,Ja,Avstår,Avstår,Ja,Ja,Avstår,Ja
AU3,1,,Ja,Ja,Nej,Ja,Avstår,Ja,Ja,Ja
AU3,3,,Avstår,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU3,4,,Avstår,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
AU3,5,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU3,6,,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU4,1,Riksrevisionens rapport om Samhalls samhällsuppdrag,Nej,Ja,Ja,Avstår,Avstår,Ja,Ja,Ja
AU4,2,Riksrevisionens rapport om Samhalls samhällsuppdrag,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
AU5,2,,Ja,Ja,Ja,Avstår,Ja,Ja,Nej,Ja
AU5,3,,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja
AU5,6,,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU5,12,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
AU5,14,,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
AU5,15,,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
AU6,1,Jämställdhet och åtgärder mot diskriminering,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
AU6,2,Jämställdhet och åtgärder mot diskriminering,Avstår,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
AU6,3,Jämställdhet och åtgärder mot diskriminering,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
AU6,5,Jämställdhet och åtgärder mot diskriminering,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
AU6,8,Jämställdhet och åtgärder mot diskriminering,Ja,Ja,Ja,Nej,Ja,Ja,Nej,Ja
AU7,1,Integration,Ja,Ja,Ja,Ja,Ja,Ja,Nej,Ja
AU7,2,Integration,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
AU7,4,Integration,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
AU7,5,Integration,Avstår,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
AU7,8,Integration,Nej,Ja,Ja,Ja,Ja,Ja,Avstår,Ja
AU7,9,Integration,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja
AU8,1,Arbetsmiljö och arbetstid,Nej,Ja,Ja,Avstår,Nej,Ja,Nej,Ja
