country_code,year,sex,value,comments
SOM,2008,SEX_MLE,48.03754082,
BTN,2002,SEX_BTSX,67.84566543,
BHR,2011,SEX_FMLE,75.20535884,
SAU,2005,SEX_FMLE,73.12227378,
CYP,2003,SEX_MLE,76.86012885,
DNK,2014,SEX_MLE,78.61687489,
PHL,2007,SEX_BTSX,69.58190674,
MAR,2020,SEX_FMLE,73.86985157,
WSM,2004,SEX_FMLE,72.08095548,
JOR,2014,SEX_MLE,78.39096907,
URY,2015,SEX_BTSX,77.09925201,
DNK,2020,SEX_FMLE,83.16166983,
PRI,2020,SEX_MLE,76.14090106,
GHA,2005,SEX_MLE,58.2958344,
TON,2019,SEX_BTSX,72.94212581,
JOR,2009,SEX_FMLE,76.55739127,
TUR,2012,SEX_MLE,73.77355049,
BRA,2003,SEX_BTSX,72.30491342,
FJI,2006,SEX_BTSX,67.08069927,
NIC,2020,SEX_MLE,71.71241065,
IRQ,2003,SEX_MLE,65.68953983,
BGD,2017,SEX_MLE,72.08322327,
TON,2016,SEX_BTSX,72.56032607,
SWE,2016,SEX_MLE,80.36714012,
AUS,2006,SEX_BTSX,81.04245453,
ISL,2005,SEX_BTSX,80.90304444,
COD,2018,SEX_FMLE,63.60932257,
FSM,2001,SEX_BTSX,63.81961029,
NGA,2018,SEX_MLE,61.26091993,
KEN,2007,SEX_BTSX,58.55063756,
ATG,2016,SEX_BTSX,75.54812509,
BWA,2005,SEX_MLE,50.84700013,
CYP,2004,SEX_FMLE,81.50500335,
TUN,2013,SEX_FMLE,79.10734252,
CZE,2017,SEX_FMLE,81.69092888,
PNG,2011,SEX_BTSX,65.03278821,
FRA,2012,SEX_FMLE,84.52986176,
ESP,2016,SEX_MLE,80.0420428,
JAM,2011,SEX_BTSX,72.86139713,
SVK,2020,SEX_MLE,73.48147988,
SWE,2005,SEX_MLE,78.31471805,
LBR,2021,SEX_FMLE,64.26883806,
IRL,2004,SEX_MLE,75.93998811,
SUR,2000,SEX_BTSX,70.55904903,
UZB,2009,SEX_BTSX,66.2800996,
NZL,2018,SEX_FMLE,83.36205057,
GNB,2014,SEX_MLE,54.70521169,
OMN,2001,SEX_FMLE,76.00067092,
DJI,2012,SEX_MLE,61.18324458,
ECU,2017,SEX_BTSX,77.31252311,
