Date,Region,Pollen,Level_Value,Level_Description,Forecast_Start,Forecast_End
2025-03-20,Göteborg,Al,4,Level 4,2025-03-20,2025-03-21
2025-03-20,Göteborg,Alm,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Björk,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Bok,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Ek,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Gräs,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Gråbo,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Hassel,1,Level 1,2025-03-20,2025-03-21
2025-03-20,Göteborg,Malörtsambrosia,0,Level 0,2025-03-20,2025-03-21
2025-03-20,Göteborg,Sälg och viden,0,Level 0,2025-03-20,2025-03-21
2025-03-21,Göteborg,Al,4,Level 4,2025-03-21,2025-03-24
2025-03-21,Göteborg,Alm,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Björk,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Bok,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Ek,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Gräs,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Gråbo,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Hassel,1,Level 1,2025-03-21,2025-03-24
2025-03-21,Göteborg,Malörtsambrosia,0,Level 0,2025-03-21,2025-03-24
2025-03-21,Göteborg,Sälg och viden,0,Level 0,2025-03-21,2025-03-24
2025-03-24,Göteborg,Al,2,Level 2,2025-03-24,2025-03-25
2025-03-24,Göteborg,Alm,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Björk,1,Level 1,2025-03-24,2025-03-25
2025-03-24,Göteborg,Bok,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Ek,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Gräs,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Gråbo,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Hassel,1,Level 1,2025-03-24,2025-03-25
2025-03-24,Göteborg,Malörtsambrosia,0,Level 0,2025-03-24,2025-03-25
2025-03-24,Göteborg,Sälg och viden,0,Level 0,2025-03-24,2025-03-25
2025-03-25,Göteborg,Al,1,Level 1,2025-03-25,2025-03-26
2025-03-25,Göteborg,Alm,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Björk,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Bok,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Ek,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Gräs,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Gråbo,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Hassel,1,Level 1,2025-03-25,2025-03-26
2025-03-25,Göteborg,Malörtsambrosia,0,Level 0,2025-03-25,2025-03-26
2025-03-25,Göteborg,Sälg och viden,0,Level 0,2025-03-25,2025-03-26
2025-03-26,Göteborg,Al,2,Level 2,2025-03-26,2025-03-27
2025-03-26,Göteborg,Alm,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Björk,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Bok,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Ek,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Gräs,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Gråbo,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Hassel,1,Level 1,2025-03-26,2025-03-27
2025-03-26,Göteborg,Malörtsambrosia,0,Level 0,2025-03-26,2025-03-27
2025-03-26,Göteborg,Sälg och viden,1,Level 1,2025-03-26,2025-03-27
2025-03-27,Göteborg,Al,1,Level 1,2025-03-27,2025-03-28
2025-03-27,Göteborg,Alm,1,Level 1,2025-03-27,2025-03-28
2025-03-27,Göteborg,Björk,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Bok,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Ek,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Gräs,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Gråbo,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Hassel,1,Level 1,2025-03-27,2025-03-28
2025-03-27,Göteborg,Malörtsambrosia,0,Level 0,2025-03-27,2025-03-28
2025-03-27,Göteborg,Sälg och viden,1,Level 1,2025-03-27,2025-03-28
2025-03-28,Göteborg,Al,2,Level 2,2025-03-28,2025-03-31
2025-03-28,Göteborg,Alm,2,Level 2,2025-03-28,2025-03-31
2025-03-28,Göteborg,Björk,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Bok,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Ek,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Gräs,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Gråbo,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Hassel,1,Level 1,2025-03-28,2025-03-31
2025-03-28,Göteborg,Malörtsambrosia,0,Level 0,2025-03-28,2025-03-31
2025-03-28,Göteborg,Sälg och viden,1,Level 1,2025-03-28,2025-03-31
2025-03-31,Göteborg,Al,2,Level 2,2025-03-31,2025-04-01
2025-03-31,Göteborg,Alm,3,Level 3,2025-03-31,2025-04-01
2025-03-31,Göteborg,Björk,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Bok,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Ek,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Gräs,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Gråbo,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Hassel,1,Level 1,2025-03-31,2025-04-01
2025-03-31,Göteborg,Malörtsambrosia,0,Level 0,2025-03-31,2025-04-01
2025-03-31,Göteborg,Sälg och viden,1,Level 1,2025-03-31,2025-04-01
2025-04-01,Göteborg,Al,2,Level 2,2025-04-01,2025-04-02
